FAQ QUESTIONS,FAQ ANSWERS
"I can’t locate my account or don’t know my username on
Instagram","If you aren't able to locate your account after entering your username:
● Make sure that you're entering your username correctly, especially if it
contains repeated characters.
● Don't include the @ symbol when entering your username.
If you think your username was changed as a result of your account being
compromised:
● Check if you've received an email from Instagram notifying you that
your account information was changed.
● Ask a friend to visit your profile and take a screenshot of your current
username.
Learn more about what you can do if you think your account was hacked ."
Why am I seeing a network timeout error?,"Code Verify adds an extra layer of security to end-to-end encryption when people use
WhatsApp on the web. If you have downloaded the Code Verify web browser extension,
you might see a warning that says “Network timed out. Unable to validate this page.”
This might occur for the following reasons:
● Your network connection is unstable.
● Something is disrupting verification of the page.
To resolve the issue:
● Reload the page and open the extension again.
● Try connecting to another WiFi network.
● Try pausing your other extensions, going through the validation process
again, and unpausing your other extensions once finished. You might have to
reload WhatsApp Web to clear the warning.
● If the warning persists, proceed with caution and consider logging out of
WhatsApp Web and using WhatsApp on your mobile device, as your
messages on the web might no longer be private."
Why am I seeing a possible risk detected warning?,"Code Verify adds an extra layer of security to end-to-end encryption when people use
WhatsApp on the web. If you have downloaded the Code Verify web browser extension,
you might see a warning that says “Cannot validate the page due to another browser
extension. Consider pausing the other extension(s) and re-trying.” This might occur for
the following reasons:
● You have another extension installed that is interfering with our ability to
verify the page.
● Your other active browser extensions might be able to read or modify
content that you see on WhatsApp Web. The best way to ensure the security
of your messages on WhatsApp Web is to disable any extensions that cause
this warning.
To resolve the issue:
● Try pausing your other extensions, going through the validation process
again, and unpausing your other extensions once finished. You might have to
reload WhatsApp Web to clear the warning.
● If the error persists, disable any extensions you’re unsure of while using the
page. You might have to reload WhatsApp Web to clear the warning.
● If you trust your other active extensions, no action is required."
Why am I seeing a validation failure warning?,"Code Verify adds an extra layer of security to end-to-end encryption when people use
WhatsApp on the web. If you have downloaded the Code Verify web browser extension,
you might see a warning that says “Validation Failure”. This might occur for the
following reasons:
● You have another extension installed that is interfering with our ability to
verify the page.
● The code running your WhatsApp Web page doesn't match the code
everyone else is using.
● Something went wrong on our side.
To resolve the issue:
● Try pausing your other extensions, going through the validation process
again, and unpausing your other extensions once finished. You might have to
reload WhatsApp Web to clear the warning.
● Check to see if it has been publicly addressed on the Engineering at Meta
website or Engineering at Meta Twitter page .
● If it has not been addressed as a known issue, log out of WhatsApp Web and
use WhatsApp on your mobile device, as your messages on the web might
no longer be private. If you want to investigate the issue further, click the red
validation failure warning and download the source code."
"Seeing ""Waiting for this message. This may take a
while.""","At times, you might see the above message in place of what you were sent from a
contact. Due to end-to-end encryption, you might need to wait for someone's message
to arrive because their phone needs to come online and properly encrypt the message
for you. This can typically occur if you or the person you're chatting with recently
reinstalled WhatsApp.
To speed up this process, ask the person you're messaging to open WhatsApp on their
phone."
How to verify,"1. Enter your phone number :
○ Choose your country from the drop down list. This will
automatically fill your country code on the left.
○ Enter your phone number in the box on the right. Don't put any 0
before your phone number.
2. Tap Next to request a code.
3. Enter the 6-digit code you receive via SMS."
Didn't receive the 6-digit code ?,"If you didn't receive the 6-digit code by SMS
● Wait for the progress bar to finish and retry. The wait may take up to 10
minutes.
● Don't guess the code, or you will be locked out for a period of time.
● If the timer runs out before you receive the code, an option will appear to
request a phone call. Choose the Call me option to request the call. When
you answer the call, an automated voice should tell you the 6-digit code.
Insert that to verify WhatsApp."
Troubleshooting steps,"If you are having issues verifying, please try the following:
1. Reboot your phone (To reboot your phone, turn it off, wait for 30 seconds,
and turn it back on).
2. Delete and reinstall the latest version of WhatsApp.
3. Send a test SMS message from any phone to your own phone number
exactly as you entered it in WhatsApp, including the country code, to check
your reception."
Problems sending or receiving messages,"The most common reason why you can't send or receive WhatsApp messages is a bad
Internet connection. Learn how to troubleshoot connection issues on: Android | iPhone
If you're sure your phone is connected to the Internet, there are a few reasons why
WhatsApp messages aren't going through:
● Your phone needs to be restarted or turned off and on.
● The contact you're messaging has blocked your number. Find out more in
this article .
● You haven't completed the initial verification process. Learn about
verification on: Android | iPhone .
● The number of the contact you're trying to message on WhatsApp hasn't
been saved correctly on your phone. Learn the correct format of each phone
number here ."
What is Skype Premium?,"Skype Premium is the top-tier offering from Skype, and includes unlimited calls to a
country of your choice, group video chats and live customer service support; all for
just $4.99 per month."
